SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,LEA_TYPE,LEA_TYPE_TEXT,OUT_OF_STATE_FLAG,CHARTER_LEA,CHARTER_LEA_TEXT,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,OPERATIONAL_SCHOOLS
2023-2024,36,NEW YORK,NY,SUCCESS ACADEMY CHARTER SCHOOL-HUDSON YARDS,01,,NY-310200861087,3601167,500 W 41ST ST,,,NEW YORK,NY,10018,,500 W 41ST ST,,,NEW YORK,NY,10018,,(212)845-9683,http://www.successacademies.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,KG,04,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,EXPLORATION ELE CS - SCIENCE-TECHNOL,01,,NY-261600861102,3601168,1001 LAKE AVE,,,ROCHESTER,NY,14613,,1001 LAKE AVE,,,ROCHESTER,NY,14613,,(585)498-4700,http://www.explorationrochester.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,ACADEMY CHARTER SCHOOL-UNIONDALE,01,,NY-280202861142,3601169,100 CHARLES LINDBERGH BLVD,,,UNIONDALE,NY,11553,,100 CHARLES LINDBERGH BLVD,,,UNIONDALE,NY,11553,,(516)591-3030,http://www.academycharterschool.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,1
2023-2024,36,NEW YORK,NY,BUFFALO COLLEGIATE CHARTER SCHOOL,01,,NY-140600861129,3601170,45 JEWETT AVE,,,BUFFALO,NY,14214,,45 JEWETT AVE,,,BUFFALO,NY,14214,,(716)713-2162,http://www.buffalocollegiate.org,2,Closed,2,Closed,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not reported,As reported,0
2023-2024,36,NEW YORK,NY,ZETA CHARTER SCHOOL - INWOOD,01,,NY-310600861140,3601171,401 W 218TH ST,,,NEW YORK,NY,10034,,401 W 218TH ST,,,NEW YORK,NY,10034,,(929)447-5281,http://zetaschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,PK,06,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,PERSISTENCE PREPARATORY ACADEMY CHARTER SCHOOL,01,,NY-140600861134,3601172,378 URBAN ST,,,BUFFALO,NY,14211,,378 URBAN ST,,,BUFFALO,NY,14211,,(716)235-1520,http://www.persistenceprep.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,REACH ACADEMY CHARTER SCHOOL,01,,NY-140600861109,3601173,115 ASH ST,,,BUFFALO,NY,14204,,115 ASH ST,,,BUFFALO,NY,14204,,(716)248-1485,http://www.reachacs.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,KG,07,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,ONTECH CHARTER HIGH SCHOOL,01,,NY-421800861125,3601174,810 WILLIS AVE,,,SYRACUSE,NY,13204,,810 WILLIS AVE,,,SYRACUSE,NY,13204,,(315)396-0558,http://www.ontechcharter.com,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,36,NEW YORK,NY,CYPRESS HILLS ASCEND CHARTER SCHOOL,01,,NY-331900861131,3601175,205 ROCKAWAY PKWY,,,BROOKLYN,NY,11212,,396 GRANT AVE,,,BROOKLYN,NY,11208,,(646)644-1714,http://www.ascendlearning.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,KG,06,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,KIPP FREEDOM CHARTER SCHOOL,01,,NY-321000861135,3601176,2246 JEROME AVE,,,BRONX,NY,10453,,2246 JEROME AVE,,,BRONX,NY,10453,,(718)841-6165,http://kippnyc.org/schools/kipp-freedom-middle-school,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,ZETA CHARTER SCHOOL -SOUTH BRONX,01,,NY-320700861141,3601177,425 WESTCHESTER AVE,,,BRONX,NY,10455,,425 WESTCHESTER AVE,,,BRONX,NY,10455,,(929)458-3000,http://zetaschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,ELM COMMUNITY CHARTER SCHOOL,01,,NY-342400861133,3601178,79-17 51ST AVE,,,ELMHURST,NY,11373,,79-17 51ST AVE,,,ELMHURST,NY,11373,,(917)699-4212,http://elmcharterschool.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,EARLY COLLEGE CHARTER SCHOOL,01,,NY-353100861136,3601179,1 TELEPORT DR-3RD FL,CORPORATE COMMONS TWO,,STATEN ISLAND,NY,10311,,1441 SOUTH AVE-5TH FL,,,STATEN ISLAND,NY,10314,,(347)855-2238,http://www.nicotracharter.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported,1
2023-2024,36,NEW YORK,NY,BRONX CHARTER SCHOOL FOR EXCELLENCE 4,01,,NY-321100861120,3601180,4300 MURDOCK AVE,,,BRONX,NY,10466,,4300 MURDOCK AVE,,,BRONX,NY,10466,,(347)773-3100,http://www.excellencecommunityschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,CITIZENSHIP AND SCIENCE ACADEMY OF SYRACUSE CHARTER SCHOOL,01,,NY-421800861124,3601181,301 VALLEY DR,,,SYRACUSE,NY,13207,,301 VALLEY DR,,,SYRACUSE,NY,13207,,(315)671-0270,http://www.sasccs.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,URBAN ASSEMBLY CHARTER SCHOOL FOR COMPUTER SCIENCE,01,,NY-321200861107,3601182,1300 BOYNTON AVE-3RD FL,,,BRONX,NY,10472,,1300 BOYNTON AVE-3RD FL,,,BRONX,NY,10472,,(646)421-4523,http://www.compscihigh.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,36,NEW YORK,NY,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL 2,01,,NY-342700861118,3601183,135-25 79TH ST,,,HOWARD BEACH,NY,11414,,135-25 79TH ST,,,HOWARD BEACH,NY,11414,,(718)392-3405,http://www.owncs.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,EMBLAZE ACADEMY CHARTER SCHOOL,01,,NY-320800861126,3601184,1164 GARRISON AVE,,,BRONX,NY,10474,,1164 GARRISON AVE,,,BRONX,NY,10474,,(929)388-0011,http://www.emblazeacademy.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,05,08,Middle,As reported,1
2023-2024,36,NEW YORK,NY,EDMUND W GORDON BROOKLYN LABORATORY CHARTER SCHOOL,01,,NY-331300861110,3601186,77 SANDS ST,,,BROOKLYN,NY,11201,,77 SANDS ST,,,BROOKLYN,NY,11201,,(347)429-8439,http://www.brooklynlaboratoryschool.org/,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported,1
2023-2024,36,NEW YORK,NY,URBAN DOVE TEAM CHARTER SCHOOL II,01,,NY-320800861139,3601187,671 PROSPECT AVE,,,BRONX,NY,10456,,671 PROSPECT AVE,,,BRONX,NY,10456,,(718)682-3975,http://www.urbandove.org,5,Changed Boundary/Agency,5,Changed Boundary/Agency,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,10,12,High,As reported,1
2023-2024,36,NEW YORK,NY,TRUXTON ACADEMY CHARTER SCHOOL,01,,NY-110701861172,3601188,PO BOX 104,,,TRUXTON,NY,13158,,6337 ACADEMY ST,,,TRUXTON,NY,13158,,(607)842-6252,http://www.truxtonacademy.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,BOQUET VALLEY CSD,01,,NY-151801040000,3601189,PO BOX 158,,,ELIZABETHTOWN,NY,12932,0158,25 SISCO ST,,,WESTPORT,NY,12993,,(518)962-8244,http://www.boquetvalleycsd.org,1,Open,1,Open,05/07/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,36,NEW YORK,NY,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,01,,NY-261600861153,3601190,1151 RIDGEWAY AVE,,,ROCHESTER,NY,14615,,1151 RIDGEWAY AVE,,,ROCHESTER,NY,14615,,(585)254-1003,http://www.ahscharter.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported,1
2023-2024,36,NEW YORK,NY,HARLEM VILLAGE ACADEMY WEST 2 CHARTER SCHOOL,01,,NY-310500861149,3601191,74 W 124TH ST,,,NEW YORK,NY,10027,,74 W 124TH ST,,,NEW YORK,NY,10027,,(646)812-9700,http://www.harlemvillageacademies.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,STOREFRONT ACADEMY HARLEM CHARTER SCHOOL,01,,NY-310400861171,3601192,445 E 115TH ST,,,NEW YORK,NY,10029,,445 E 115TH ST,,,NEW YORK,NY,10029,,(646)328-9730,http://www.storefrontacademycs.org,5,Changed Boundary/Agency,5,Changed Boundary/Agency,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,NEIGHBORHOOD CHARTER SCHOOL-BRONX,01,,NY-320700861137,3601193,411 WALES AVE,,,BRONX,NY,10454,,411 WALES AVE,,,BRONX,NY,10454,,(917)743-7476,http://www.ncschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,CREO COLLEGE PREPARATORY CHARTER SCHOOL,01,,NY-320700861145,3601194,524 COURTLANDT AVE,,,BRONX,NY,10451,,524 COURTLANDT AVE,,,BRONX,NY,10451,,(347)216-9246,http://www.creoprep.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported,1
2023-2024,36,NEW YORK,NY,AECI II:  NYC CHARTER HS,01,,NY-320900861154,3601195,116 E 169TH ST,,,BRONX,NY,10452,,116 E 169TH ST,,,BRONX,NY,10452,,(646)741-7470,http://aeci2charterhs.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,09,12,High,As reported,1
2023-2024,36,NEW YORK,NY,DREAM CHARTER SCHOOL MOTT HAVEN,01,,NY-320700861167,3601196,20 BRUCKNER BLVD,,,BRONX,NY,10454,,20 BRUCKNER BLVD,,,BRONX,NY,10454,,(212)722-1608,http://www.wearedream.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,UNIVERSITY PREP CHARTER MIDDLE SCHOOL,01,,NY-320700861173,3601197,470 JACKSON AVE,,,BRONX,NY,10455,,470 JACKSON AVE,,,BRONX,NY,10455,,(917)985-8300,http://www.uppublicschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported,1
2023-2024,36,NEW YORK,NY,BOLD CHARTER SCHOOL,01,,NY-320800861143,3601198,1090 CLOSE AVE,,,BRONX,NY,10472,,1090 CLOSE AVE,,,BRONX,NY,10472,,(929)506-4369,http://www.boldschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,BRONX ARTS AND SCIENCE CHARTER SCHOOL,01,,NY-320800861155,3601199,925 HUTCHINSON RIVER PKWAY,,,BRONX,NY,10465,,925 HUTCHINSON RIVER PKWAY,,,BRONX,NY,10465,,(718)823-1065,http://www.bronxcharter.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,BRONX CHARTER SCHOOL FOR EXCELLENCE 5,01,,NY-321000861121,3601200,1946 BATHGATE AVE,,,BRONX,NY,10457,,1946 BATHGATE AVE,,,BRONX,NY,10457,,(718)882-1058,http://www.excellencecommunityschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,CARDINAL MCCLOSKEY COMMUNITY CHARTER SCHOOL,01,,NY-321000861130,3601201,685 E 182ND ST,,,BRONX,NY,10457,,685 E 182ND ST,,,BRONX,NY,10457,,(347)708-0480,http://cmccs.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,KIPP BRONX CHARTER SCHOOL II,01,,NY-321000861150,3601202,2720 JEROME AVE,,,BRONX,NY,10468,,2720 JEROME AVE,,,BRONX,NY,10468,,(212)991-2610,,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,KIPP BRONX CHARTER SCHOOL III,01,,NY-320900861151,3601203,1504 MACOMBS RD,,,BRONX,NY,10452,,1504 MACOMBS RD,,,BRONX,NY,10452,,(212)991-2610,,5,Changed Boundary/Agency,5,Changed Boundary/Agency,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,KG,10,Other,As reported,1
2023-2024,36,NEW YORK,NY,BROOKLYN RISE CHARTER SCHOOL,01,,NY-331500861156,3601204,9 HANOVER PL,,,BROOKLYN,NY,11201,,9 HANOVER PL,,,BROOKLYN,NY,11201,,(347)470-9833,http://www.brooklynrise.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,LEEP DUAL LANGUAGE ACADEMY CHARTER SCHOOL,01,,NY-331500861158,3601205,5323 5TH AVE - 2ND FL,,,BROOKLYN,NY,11220,,5323 5TH AVE - 2ND FL,,,BROOKLYN,NY,11220,,(917)819-5337,http://www.leepacademies.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,BROOKLYN PROSPECT CHARTER SCHOOL - CSD 15.2,01,,NY-331500861162,3601206,3002 FORT HAMILTON PKWY,,,BROOKLYN,NY,11218,,3002 FORT HAMILTON PKWY,,,BROOKLYN,NY,11218,,(718)643-1086,http://www.brooklynprospect.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,1
2023-2024,36,NEW YORK,NY,FLATBUSH ASCEND CHARTER SCHOOL,01,,NY-331700861164,3601207,123 LINDEN BLVD,,,BROOKLYN,NY,11203,,123 LINDEN BLVD,,,BROOKLYN,NY,11203,,(646)644-1714,http://www.ascendlearning.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,EAST FLATBUSH ASCEND CHARTER SCHOOL (EFACS),01,,NY-331800861165,3601208,870 ALBANY AVE,,,BROOKLYN,NY,11203,,870 ALBANY AVE,,,BROOKLYN,NY,11203,,(646)644-1714,http://www.ascendlearning.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,IVY HILL PREPARATORY CHARTER SCHOOL,01,,NY-331800861146,3601209,475 E 57TH ST,,,BROOKLYN,NY,11203,,475 E 57TH ST,,,BROOKLYN,NY,11203,,(917)789-8959,http://www.ivyhillprep.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,KG,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,EAST BROOKLYN ASCEND CHARTER SCHOOL (EBACS),01,,NY-331900861132,3601210,260 SHEPHERD AVE,,,BROOKLYN,NY,11208,,260 SHEPHERD AVE,,,BROOKLYN,NY,11208,,(347)442-7990,http://www.ascendlearning.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,NEW DAWN CHARTER HIGH SCHOOL II,01,,NY-342800861147,3601211,89-25 161ST ST,,,JAMAICA,NY,11432,,89-25 161ST ST,,,JAMAICA,NY,11432,,(347)947-2580,http://www.newdawnchsqueens.org,5,Changed Boundary/Agency,5,Changed Boundary/Agency,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,36,NEW YORK,NY,VALENCE COLLEGE PREPARATORY CHARTER SCHOOL,01,,NY-342800861152,3601212,97-29 64TH RD,,,REGO PARK,NY,11374,,97-29 64TH RD,,,REGO PARK,NY,11374,,(646)854-8414,http://www.valencecollegeprep.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported,1
2023-2024,36,NEW YORK,NY,BRIDGE PREPARATORY CHARTER SCHOOL,01,,NY-353100861144,3601213,715 OCEAN TERRACE-BLDG E,,,STATEN ISLAND,NY,10301,,715 OCEAN TERRACE-BLDG E,,,STATEN ISLAND,NY,10301,,(718)274-3437,http://www.bridgeprepcharter.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,01,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,HELLENIC CLASSICAL CHARTER SCHOOL - STATEN ISLAND,01,,NY-353100861175,3601214,1641 RICHMOND AVE,,,STATEN ISLAND,NY,10314,,1641 RICHMOND AVE,,,STATEN ISLAND,NY,10314,,(718)449-0957,http://www.hccs-nys.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,PK,05,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,BUFFALO CREEK ACADEMY CHARTER SCHOOL,01,,NY-140600861183,3601215,528 SOUTH PARK,,,BUFFALO,NY,14204,,528 SOUTH PARK,,,BUFFALO,NY,14204,,(716)602-9472,http://www.buffalocreekacademy.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported,1
2023-2024,36,NEW YORK,NY,BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL II,01,,NY-140600861185,3601216,335 DOAT ST,,,BUFFALO,NY,14211,,335 DOAT ST,,,BUFFALO,NY,14211,,(917)284-5388,http://www.buffsci.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,KG,11,Other,As reported,1
2023-2024,36,NEW YORK,NY,GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX II,01,,NY-320700861179,3601217,124 EAMES PL,,,BRONX,NY,10468,,124 EAMES PL,,,BRONX,NY,10468,,(718)742-8848,http://www.publicprep.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,ZETA CHARTER SCHOOL - BRONX  MOUNT EDEN,01,,NY-320900861181,3601218,1475 MACOMBS RD,,,BRONX,NY,10452,,1475 MACOMBS RD,,,BRONX,NY,10452,,(929)502-7748,http://zetaschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,PK,03,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,ZETA CHARTER SCHOOL -  BRONXTREMONT PARK,01,,NY-321200861182,3601219,1910 ARTHUR AVE,,,BRONX,NY,10457,,1910 ARTHUR AVE,,,BRONX,NY,10457,,(929)506-6591,http://zetaschools.org,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,PK,03,Elementary,As reported,1
2023-2024,36,NEW YORK,NY,WILDFLOWER NEW YORK CHARTER SCHOOL,01,,NY-320900861174,3601220,1332 FULTON AVE,,,BRONX,NY,10456,,1332 FULTON AVE,,,BRONX,NY,10456,,(718)635-0474,http://wildflowerschools.org/ny/wildflowernewyorkcharterschool,1,Open,1,Open,05/07/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,PK,04,Elementary,As reported,1
